category_id	title	availability	group_type	descript	notes
503	Tower rearranging	0	1	The participant was presented with an illustration of three pegs (towers) on which three differently-coloured hoops had been placed. The were then asked to indicate how many moves it would take to re-arrange the hoops into another specific position. <p> This test was introduced in 2016 at the Imaging Clinics.	Participants were presented with a series of challenges. The actual image presented varied however the challenges were always presented so as to preserve the same order of difficulty, with the correct answers (in order) being: <br> 1, 3, 2, 1, 4, 2, 5, 2, 2, 3, 1, 5, 4, 4, 5, 4, 1, 5
504	Picture vocabulary	0	1	The participant was presented with a series of sets of four pictures accompanied by a word and asked to indicate which image in the set was most closely related to the word displayed. The test varies the difficulty of each subsequent word/picture group according to the correctness of the previous answers, aiming to home-in on a best-estimate of the participants vocabulary level. <p> This test was introduced in 2016 at the Imaging Clinics.	
505	Trail making	0	1	The participant was presented with sets of digits/letters in circles scattered around the screen and asked to click on them sequentially according to a specific algorithm. <p> This test was introduced in 2016 at the Imaging Clinics. <p> This measure was also performed online in ~L121~.	
506	Paired associate learning	0	1	In the paired associate learning test the participants were shown 12 pairs of words (for 30 seconds in total) then, after an interval (in which they did a different test), presented with the first word of 10 of these pairs and asked to select the matching second word from a choice of 4 alternatives. <br> The words were presented in the order: huge, happy, tattered, old, long, red, sulking, pretty, tiny and new.	
1001	Primary demographics	0	0	Main demographic fields likely to be of interest to researchers	
1002	Early life	0	0	Main early-life fields likely to be of interest to researchers	
1003	Self-reported medical conditions	0	0	Main self-reported medical condition fields likely to be of interest to researchers	
1004	Diet and alcohol summary	0	0	Main diet fields likely to be of interest to researchers	
1005	Cognitive function summary	0	0	Main cognitive function fields likely to be of interest to researchers	
1006	Physical measure summary	0	0	Main physical measurement fields likely to be of interest to researchers	
1007	Education and employment	0	0	Education and occupation fields	
1008	Physical activity measurement	0	1	Physical activity measurement recorded via a wrist-worn accelerometer.<p>Main data collection (for 100,000 participants) was between June 2013 and January 2016. In 2018, a subset of participants was asked to repeat the exercise up to four times each on a quarterly basis to examine the influence of seasonal effects on the measurements. These seasonal repeats are currently ongoing. <p> Additional information is given in ~R169649~.	
1009	Acceleration averages	0	1	Average accelerations measured during wearing of activity monitor. Note that the device truncated any values exceeding +/- 8 gravitites.	
1010	Acceleration intensity distribution	0	1	Measurements of the time during which acceleration was at or below various threshold values.	
1011	Accelerometer wear time duration	0	1	Estimates of the amount of time (duration) participants spent wearing the accelerometer device.	
1012	Accelerometer calibration	0	1	Accelerometer calibration metrics.	
1013	Raw accelerometer statistics	0	1	Raw accelerometer statistics	
1014	Brain MRI	0	0	Main brain MRI fields likely to be of interest to researchers.	
1015	Heart MRI	0	0	Main heart MRI fields likely to be of interest to researchers.	
1016	Main abdominal MRI fields likely to be of interest to researchers.	0	0	Abdominal MRI	
1017	Genomics	0	0	Main genomics fields likely to be of interest to researchers.	
1018	Mental health	0	0	Main mental health fields likely to be of interest to researchers.	
1019	Linked health outcomes	0	0	Main linked health outcomes fields likely to be of interest to researchers.	
1307	Infectious Disease Antigens	0	1	Measured levels of antigens for selected infectious diseases.	
2000	Hospital in-patient	0	1	This category contains data on in-patient hospital admissions, obtained through linkage to external data providers. In-patients are defined as persons who are admitted to hospital and occupy a hospital bed. This includes both admissions where an overnight stay is planned and day cases. <p>A <i>Spell</i> is a total continuous stay of a patient in a hospital from admission to discharge. A Spell is split into one or more <i>Episodes</i>, each of which is a continuous period of care administered under one consultant within that hospital provider. If a patient is transferred to another consultant during a Spell, a new Episode is generated. Each record in the in-patient hospital data corresponds to a single Episode, with particular fields indicating which Spell it belongs to and its position within that Spell. <p>Hospital in-patient data are available to researchers in two formats: <p> <b>Spell and Episode Data</b> <br>If you select data-fields from the <i>Spell & Episode Data</i> sub-categories in your basket, then due to the size and complexity of the data, access to the specific fields you have selected will be made available via the HES Data Portal. <p>The Episode-level data has not been subjected to any substantial processing by UK Biobank, and is provided in a form close to the form in which we received it. For researchers needing only data about diagnoses and procedures and their first known occurence dates we would recommend using the Summary Information fields below. <p> <b>Summary Information</b> <br>The Summary Information sub-categories provide a simplified overview of the data appearing in the Episode-level in-patient data. These data-fields include a list for each participant of all the distinct values that appear for that data-field across all episodes in the in-patient data. For most of the diagnosis and operation summary data-fields only there are accompanying data-fields containing the date each diagnosis or procedure code was first recorded in the inpatient data for each participant. <p>If you select data-fields from the Summary Information sub-categories in your basket they will appear in a standard UK Biobank dataset.	This data is large and complex and we advise you to read the explanatory documentation provided in the Additional Resources tab for details on how these data are presented and made accessible. The <a class="basic" href="/crystal/exinfo.cgi">Essential Information</a> section presents summaries regarding the extent of data that is currently available, in the form of tabulations of the number of participants with one or more admissions for selected incident outcomes, and direct links to these are given below: <p> <ul> <li><a class="basic" href="/crystal/exinfo.cgi?src=ICD_xtab_by_diag">Position of diagnosis code</a></li> <li><a class="basic" href="/crystal/exinfo.cgi?src=ICD_xtab_by_year_rec">Year of recruitment</a></li> <li><a class="basic" href="/crystal/exinfo.cgi?src=ICD_xtab_by_sex">Sex</a></li> <li><a class="basic" href="/crystal/exinfo.cgi?src=ICD_xtab_by_age">Age at diagnosis</a></li> <li><a class="basic" href="/crystal/exinfo.cgi?src=ICD_xtab_by_year_diag">Year of diagnosis</a></li> <li><a class="basic" href="/crystal/exinfo.cgi?src=ICD_xtab_by_ethnic">Ethnic group</a></li> </ul> <p> This data does not take into account information from participant self-report or other linked sources of data such as hospital outpatient records or primary care data. As such, outcomes not resulting in hospital admission are not captured by these data. Both because of this, and because UK Biobank participants are not representative of the general UK population, these numbers should not be regarded as estimates of disease rates in the UK population. <p> The conditions highlighted here are chosen based on their likely research interest and impact on public health and/or because they are the most common. In-patient data on cancer outcomes are not listed here because more complete data on cancer registrations is provided from linkage to cancer registry data (~L100092~). <p>The accuracy of the codes has not been checked in detail and UK Biobank's Outcomes Working group is currently working to adjudicate the most common outcomes. Please see ~L42~ for further details of these. <p> Information about the temporal coverage of the in-patient data from each data provider, along with suggested censoring dates can be found at: http://biobank.ctsu.ox.ac.uk/crystal/exinfo.cgi?src=Data_providers_and_dates
2001	Admission and discharge	0	1	This category contains data relating to hospital admissions and discharges. Including: admission and discharge dates, length of hospital stay, the method by which a patient is admitted to and discharged from hospital, waiting time for the hospital admission, type of care given, etc. <p> For an overview of the data stored across all Episodes for a particular data-field, please access the <i>Summary Information (admission and discharge)</i> sub-category. These data-fields list for each participant all the distinct values for that data-field in the inpatient data. These fields are supplied as part of a standard UK Biobank dataset. <p> To conduct detailed analyses on the in-patient hospital data, researchers will require data-fields from the <i>Spell and Episode Data (admission and discharge)</i> sub-category. Including data-fields from this category in a basket of variables will give: <ul> <li>access to the underlying data-fields in the episode level data via the HES Data Portal;</li> <li>the variables themselves in a standard UK Biobank dataset - but these are counts of the number of hospital episodes with data recorded for each data-field (e.g. ~F41085~ shows the number of episodes in the inpatient data with duration of episode data).</li> </ul>	
2002	Diagnoses	0	1	This category contains data relating to diagnoses made during hospital in-patient stay. Including: main and secondary diagnoses, coded according to the International Classification of Diseases (ICD). The main diagnosis is taken to be the main reason for the hospital admission, while secondary diagnoses are more often contributory or underlying conditions. <p> For an overview of the data stored across all Episodes for a particular data-field, please access the <i>Summary Information (diagnoses)</i> sub-category. These data-fields list for each participant all the distinct values for that data-field in the inpatient data. Most data-fields in this category contain a corresponding field showing the date each diagnosis code was first recorded in the inpatient data. These fields are supplied as part of a standard UK Biobank dataset. <p> To conduct detailed analyses on the in-patient hospital data, researchers will require data-fields from the <i>Spell and Episode Data (diagnoses)</i> sub-category. Including data-fields from this category in a basket of variables will give: <ul> <li>access to the underlying data-fields in the episode level data via the HES Data Portal;</li> <li>the variables themselves in a standard UK Biobank dataset - but these are counts of the number of hospital episodes with data recorded for each data-field (e.g. ~F41142~ shows the number of episodes in the inpatient data with a main ICD10 diagnoses recorded).</li> </ul>	
2003	Maternity	0	1	This category contains data relating to maternity care. Including: birth weight of baby, delivery place and method, lengths of ante-natal and post-natal stay, etc. <p> For an overview of the data stored across all Episodes for a particular data-field, please access the <i>Summary Information (maternity)</i> sub-category. These data-fields list for each participant all the distinct values for that data-field in the inpatient data. Not all episode level maternity fields have corresponding Summary Information data-fields. These fields are supplied as part of a standard UK Biobank dataset. <p> To conduct detailed analyses on the in-patient hospital data, researchers will require data-fields from the <i>Spell and Episode Data (maternity)</i> sub-category. Including data-fields from this category in a basket of variables will give: <ul> <li>access to the underlying data-fields in the episode level data via the HES Data Portal;</li> <li>the variables themselves in a standard UK Biobank dataset - but these are counts of the number of hospital episodes with data recorded for each data-field (e.g. ~F41085~ shows the number of episodes in the inpatient data with duration of episode data).</li> </ul>	
2004	Psychiatric	0	1	This category contains data relating to psychiatric care. Including: mental category of patient, psychiatric history, detention date, etc. This data does not currently include psychiatric inpatient records for participants in Scotland and Wales. <p> Please note that the Spell and Episode (psychiatric) data-fields are all ~Hviewonly~view-only~ at the moment. <p> For an overview of the data stored across all Episodes for a particular data-field, please access the "Summary Information (psychiatric)" sub-category. These data-fields list for each participant all the distinct values for that data-field in the inpatient data. If you add Summary Information (psychiatric) fields to your basket they will appear in a standard UK Biobank dataset.	
2005	Operations	0	1	This category contains data relating to operations or procedures performed during the hospital stay. Including: operative codes, dates of operations, lengths of pre- and post-operative stay, etc. Operations are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4). <p> For an overview of the data stored across all Episodes for a particular data-field, please access the <i>Summary Information (operations)</i> sub-category. These data-fields list for each participant all the distinct values for that data-field in the inpatient data, and most data-fields in this category contain a corresponding field showing the date each procedure code was first recorded in the inpatient data. These fields are supplied as part of a standard UK Biobank dataset. <p> To conduct detailed analyses on the in-patient hospital data, researchers will require data-fields from the <i>Spell and Episode Data (operations)</i> sub-category. Including data-fields from this category in a basket of variables will give: <ul> <li>access to the underlying data-fields in the episode level data via the HES Data Portal;</li> <li>the variables themselves in a standard UK Biobank dataset - but these are counts of the number of hospital episodes with data recorded for each data-field (e.g. ~F41148~ shows the number of episodes in the inpatient data with an operation date recorded).</li> </ul>	
2011	Spell and Episode Data (admission and discharge)	0	1	This category contains Spell and Episode level data relating to hospital admissions and discharges. In order to conduct analyses on the admission and discharge data, researchers will need to select data-fields from this category. <p>For an overview of the amount and type of admission and discharge data currently in the resource, please see the corresponding (~L2021~) Summary Information.	
2012	Spell and Episode Data (diagnoses)	0	1	This category contains Spell and Episode data relating to diagnoses made during the hospital stay. In order to conduct analyses on the diagnoses data, researchers will need to select data-fields from this category. <p>For an overview of the amount and type of diagnosis data currently in the resource, please see the corresponding (~L2022~) Summary Information.	
2013	Spell and Episode Data (maternity)	0	1	This category contains Spell and Episode level data relating to maternity care. In order to conduct analyses on the maternity data, researchers will need to select data-fields from this category. <p>For an overview of the amount and type of maternity data currently in the resource, please see the corresponding (~L2023~) Summary Information.	
2014	Spell and Episode Data (psychiatric)	0	1	This category contains spell and episode level data relating to psychiatric care. In order to conduct analyses on the psychiatric data, researchers will need to select data-fields from this category. <i>Note however that this data is not currently being made available due to the small number of participants it covers.</i> <p>For an overview of the amount and type of psychiatric data currently in the resource, please see the corresponding (~L2024~) Summary Information.	
2015	Spell and Episode Data (operations)	0	1	This category contains Spell and Episode level data relating to operations or procedures performed during the hospital stay. In order to conduct analyses on the operations data, researchers will need to select data-fields from this category. <p>For an overview of the amount and type of operations data currently in the resource, please see the corresponding (~L2025~) Summary Information.	
2021	Summary Information (admission and discharge)	0	1	This category contains summary information relating to hospital admissions and discharges. In order to conduct analyses on the admission and discharge data, researchers will need to select data-fields from the corresponding (~L2011~) Spell and Episode Data.	
2022	Summary Information (diagnoses)	0	1	This category contains summary information relating to diagnoses made during the hospital stay. In order to conduct analyses on the diagnoses data, researchers will need to select data-fields from the corresponding (~L2012~) Spell and Episode Data.	
2023	Summary Information (maternity)	0	1	This category contains summary information relating to maternity care. In order to conduct analyses on the maternity data, researchers will need to select data-fields from the corresponding (~L2013~) Spell and Episode Data.	
2024	Summary Information (psychiatric)	0	1	This category contains summary information relating to psychiatric care. In order to conduct analyses on the psychiatric data, researchers will need to select data-fields from the corresponding (~L2014~) Spell and Episode Data.	
2025	Summary Information (operations)	0	1	This category contains summary information relating to operations or procedures performed during the hospital stay. In order to conduct analyses on the operations data, researchers will need to select data-fields from the corresponding (~L2015~) Spell and Episode Data .	
2384	XNAT image package	0	99	XNAT (http://www.xnat.org) is a user-friendly management tool designed to facilitate access to, and analysis of, images and associated phenotype data. <p> A bespoke customised version has been developed by DPUK which includes an adapter for accessing images stored in the UK Biobank image store. This tool provides an intuitive user interface to access and to develop and run analysis pipelines against the image data available at UK Biobank (subject to user being an approved UK Biobank Applicant). Access to the XNAT Data Management tool (which is not part of UK Biobank) can be requested via the URL https://ukbiobank.dpuk.org/ <p> This category groups together a set of demographics and image fields that are a pre-requisite when using the XNAT data management tool. <p>Note that ~F20216~ (T1 structural brain images - DICOM) is suitable for XNAT also, but due to the ~Hsensitive~sensitive~ nature of this field it will only be supplied to researchers when absolutely necessary and is therefore not included in this category (it can however be requested if appropriate justification is given). The NIFTI alternative ~F20252~ is however included.	
3000	Primary care	0	1	Primary care data from GPs.	
9081	Blood count processing	0	1	Blood count processing metrics.	
17518	Blood biochemistry	0	1	A range of key biochemistry markers were measured in the blood sample collected at recruitment (for all 500,000 participants) and at repeat assessment approx. 5 years later (for 20,000 participants). The biomarkers were selected for analysis because they represent established risk factors for disease, are established diagnostic measures, or characterised phenotypes not otherwise well assessed and are feasible to measure at scale.	
18518	Blood biochemistry processing	0	1	Blood biochemistry processing metrics.	
51428	Infectious Diseases	0	1	Infectious Diseases	
100000	UK Biobank Assessment Centre	0	1	This category contains information that was collected at the Assessment Centre, and is divided into sub-categories based on the type of assessment that was performed (i.e. touchscreen, verbal interview, physical measures, biological sampling).	
100001	Biological sampling	0	1	This category contains information on whether the biological sample was taken during at Assessment Centre, and is subdivided into categories based on the type of biological sample. Data on the amount of biological material available and their assay results can be found in categories of 'Sample Inventory' and 'Assay Results', respectively.	
100002	Blood sample collection	0	1	This category contains data on whether blood samples were taken at the Assessment Centre and if not, the reason why not, and fasting time before sample collection.	
100003	Imaging	0	1	This category contains information from imaging measurements done at the Assessment Centre and is divided into sub-categories based on the type of measure performed.	
100004	Procedural metrics	0	1	This category contains information related to the Assessment Centre systems and procedures.	
100005	Pilot assessment	0	99	The first Assessment Centre opened by UK Biobank (Cheadle, 2006) is known as the Pilot centre. The results from it were used to refine the design of the questionnaires and measurement techniques for the subsequent centres. As a consequence of this refinement process some of the questions and tests used in the Pilot were superceded and do not appear in the results from the later centres. Approximately 3600 people attended the Pilot centre.	
100006	Physical measures	0	1	This category contains information from physical measurements done at the Assessment Centre and is divided into sub-categories based on the type of physical measure performed.	
100007	Arterial stiffness	0	1	This category contains data on arterial stiffness (vascular reactivity) using the pulse waveform obtained at the finger with an infra-red sensor (PulseTrace PCA2, CareFusion, USA). The shape of the volume waveform in the finger is directly related to the time it takes for the pulse waves to travel through the arterial tree in the lower body, and to be reflected back to the finger. The time between peaks of the waveform (the peak-to-peak time; PPT) is divided into the person's height to obtain the Stiffness Index (SI). Blood pressure was also recorded. Measurement is made by clipping the device to a finger; the reading is made over 10-15 seconds. These measures were introduced to the Assessment Centre towards the end of recruitment.	
100008	Anthropometry	0	1	This category contains information on the type of body composition measures that were performed, including manual body measures (i.e. waist and hip circumference, height), and whole-body bioimpedance measures (giving segmental estimates of fat percentage, fat mass, fat-free mass and predicted muscle mass).	
100009	Impedance measures	0	1	This category contains data on whole-body bio-impedance measures using the Tanita BC418MA body composition analyser (i.e. basal metabolic rate, body type, weight, body fat mass, body fat percentage, fat free mass, water mass, predicted muscle mass and impedance for the right arm, right leg, left arm, left leg and trunk).	
100010	Body size measures	0	1	This category contains data on body composition measures that were taken manually (i.e. standing/sitting height, waist/hip circumference, weight, body mass index, reason for skipping these measurements, if applicable).	
100011	Blood pressure	0	1	This category contains information on blood pressure measurements and pulse rate using the Omron Digital blood pressure monitor. Two blood pressure measurements were performed on each individual, using automated (the default option) or manual devices.	
100012	ECG during exercise	0	1	This category contains data on cardio-respiratory fitness, and involves heart-rate monitoring (using a 4-lead electrocardiograph [ECG]; CAM-USB 6.5, Cardiosoft v6.51) during cycle ergometry on a stationary bike (eBike, Firmware v1.7) with a ramp slope that is adapted to the individual based on age, gender, weight and medical history. ECGs were recorded pre-test (15 seconds), during activity (6 minutes) and in recovery (1 minute). The participant's risk category was first calculated to determine what level of activity they should perform or have only a resting ECG performed. The percentage levels of effort during activity were then determined according to their risk category, and their maximum workload was calculated according to age, height, weight, resting heart rate and sex. These measures were introduced to the Assessment Centre towards the end of recruitment. <p> Please note that the ecg/fitness data fields have not yet been summarised into a form suitable for non-specialists and require expert knowledge for analysis. Derived summary variables will be incorporated into the resource when this work is complete.	
100013	Eye measures	0	1	This category contains data on whether both eyes are present and whether they are any contra-indications for the eye measurements, along with a range of measures of eye function, subdivided into categories of: visual acuity, refractive error, intraocular pressure/corneal biomechanics, and optical coherence tomography. These measures were introduced to the Assessment Centre towards the end of recruitment.	
100014	Autorefraction	0	1	This category contains data on measurements related to the assessment of the participant's eye prescription (refractive error), using a TomeyRC - 5000 device. This category includes data on whether the measurement was made, and the test result for refractometry (Sphere, Cylinder, Axis, Pupil diameter) and keratometry (corneal refraction and astigmatism) for each eye. This measure was added to the assessment visit towards the end of recruitment. <p> Please note that these data fields have not yet been summarised into a form suitable for non-specialists and require expert knowledge for analysis. Derived summary variables will be incorporated into the resource when this work is complete.	
100015	Intraocular pressure	0	1	This category contains data on intraocular pressure, using the Reichert Ocular Response Analyser, which measures the difference in air pressures at which the cornea flattens inwards and outwards using a puff of air. This category includes data on whether the measurement was performed, and data on eye applanation, corneal hysteresis, corneal resistance factor, corneal-resisted intraocular pressure, and an intraocular pressure graph for each eye. This measure was added to the assessment visit towards the end of recruitment.	
100016	Retinal optical coherence tomography	0	1	This category contains data on optical imaging (Coherence Tomography) of the retina, using the TOPCON 3D OCT 1000 Mk2. This instrument takes a 3D scan and photograph of the retina and also provides a magnified photograph of the fundus. This category includes data on whether the measurement was performed, and imaging data of each eye. This measure was added to the assessment visit towards the end of recruitment and is available for a subset of participants. Because of its size/nature, OCT data in UK Biobank will be accessed via a secure portal rather than directly exported to researchers.	
100017	Visual acuity	0	1	This category contains data on measurements related to the assessment of visual acuity (includes data on whether the measurement was made, the distance from the viewer to the screen, whether glasses were worn, plain/mirrored view, the letters that were displayed in each round and the log(minimum angle of resolution)result for each eye). This measure was added to the assessment visit towards the end of recruitment. <p> For non-specialists, the primary items of interest are ~F5201~ and ~F5208~.	
100018	Bone-densitometry of heel	0	1	This category contains data on bone mineral density (BMD) based on an ultrasound measurement of the calcaneus, using the Sahara Clinical Bone Sonometer. The Sonometer estimates BMD by measuring the speed of sound and broadband ultrasound attenuation. These results are combined to give the Quantitative Ultrasound Index. From this an estimate is made of BMD, and a T-score, which is a person's BMD compared with what is normally expected in a healthy adult of their sex. In the early stages of recruitment only a single foot was used for the measurement (the side being recorded), however in the later stages the measurement was taken on both feet.	
100019	Hand grip strength	0	1	This category contains data on right and left hand isometric grip strength, measured using a Jamar J00105 hydraulic hand dynamometer.	
100020	Spirometry	0	1	This category contains data on breath spirometry using a Vitalograph Pneumotrac 6800. The participant is asked to record two to three blows (lasting for at least 6 seconds) within a period of about 6 minutes. The computer compares the reproducibility of the first two blows and, if acceptable (defined as a <5% difference in forced volume vital capacity (FVC) & Forced Expiratory Volume in 1 second (FEV1)), will indicate that the third blow is not required. During the pilot phase of the study up to 7 blows were possible.	
100021	Recruitment	0	1	This category contains documentation about the procedures at the Assessment Centre.	
100022	Conclusion	0	1	This category contains documentation about the procedures at the end of a participants visit to an Assessment Centre.	
100023	Consent	0	1	This category contains information relating to participant Consent at their initial Assessment Centre.	
100024	Reception	0	1	This category contains information about participant arrival at the Assessment Centre.	
100025	Touchscreen	0	1	This category contains information from the touchscreen questionnaire completed at the Assessment Centre and is divided into sub-categories based on broad subject areas.	
100026	Cognitive function	0	1	This category contains information on the types of cognitive function tests performed on the touchscreen questionnaire, subdivided into different tests.	
100027	Fluid intelligence	0	1	This category contains data on questions designed to assess 'Fluid intelligence' (i.e. the capacity to solve problems that require logic and reasoning ability, independent of acquired knowledge). The participant has 2 minutes to complete as many questions as possible from the test. This test was incorporated into the touchscreen towards the end of recruitment. <p> For non-specialists, the primary item of interest is ~F20016~. <p> This measure was also performed online in ~L118~.	
100028	Lights pattern memory	0	1	This category contains data on a test designed to assess visual short-term memory, as part of the touchscreen questionnaire. The participant is shown a series of pictures of houses which have some windows lit. The participant then has to indicate which windows were lit after a 10-second delay. The data recorded include the number of columns and rows that were lit in each round of the test, the pattern of lights and the pattern of lights as remembered, and the time taken to complete the test. This test was performed in the pilot phase of the study and is available for a subset of participants.	
100029	Numeric memory	0	1	This category contains data on a test designed to assess numeric short-term memory, as part of the touchscreen questionnaire. The participant was shown a 2-digit number to remember. The number then disappeared and after a short while they were asked to enter the number onto the screen. The number became one digit longer each time they remembered correctly (up to a maximum of 12 digits). Data collected include the number of digits and value of the number, the length of time the number was displayed, the time that the participant first entered and last entered a digit, the time taken to complete the test, the value of the number entered by the participant, whether or not the participant was correct, the maximum number of digits remembered, and whether the test was completed. This test is available for a subset of participants. <p> For non-specialists, the primary item of interest is ~F4282~. <p> This measure was also performed online in ~L120~.	
100030	Pairs matching	0	1	This category contains data on 'pairs' matching tests. Participants are asked to memorise the position of as many matching pairs of cards as possible. The cards are then turned face down on the screen and the participant is asked to touch as many pairs as possible in the fewest tries. <p> Multiple rounds were conducted. The first round used 3 pairs of cards and the second 6 pairs of cards. In the pilot phase an additional (i.e. third) round was conducted using 6 pairs of cards. however this was dropped from the main study as the extra set of results were very similar to the second and not felt to add significant new information. <p>This category includes data on the number of columns (i.e. 3 or 4), number of rows (i.e. 2 or 3) and the number of correct and incorrect matches. For non-specialists, the primary items of interest are ~F399~ and (for the pilot) ~F10137~. <p> This measure was also performed online in ~L117~.	
100031	Prospective memory	0	1	This category contains data on a question designed to assess 'Prospective Memory'. Early in the touchscreen cognitive section, the participant is shown the mesage "At the end of the games we will show you four coloured shapes and ask you to touch the Blue Square. However, to test your memory, we want you to actually touch the Orange Circle instead." This category includes data on the first and final answer, the history of attempts and the time it took to answer.	
100032	Reaction time	0	1	This category contains data on a test to assess reaction time and is based on 12 rounds of the card-game 'Snap'. The participant is shown two cards at a time; if both cards are the same, they press a button-box that is on the table in front of them as quickly as possible. For each of the 12 rounds, the following data were collected: the pictures shown on the cards (Index of card A, Index of card B), the number of times the participant clicked the 'snap' button, and the time it took to first click the 'snap' button. <p> This was followed-up in web-based ~L119~.	
100033	Early life factors	0	1	This category contains data from the touchscreen questionnaire on questions related to early life exposures (area of birth, adoption, multiple birth, maternal smoking at birth, whether breastfed, handedness, and childhood body size).	
100034	Family history	0	1	This category contains data from the touchscreen questionnaire on questions related to family size, sibling order, family medical history (of parents and siblings) and age of parents (age of death if died).	
100035	HLA	0	1	This category holds the classical HLA types imputed for each individual at four-digit resolution for eleven HLA genes HLA-A, -B, -C, -DRB5, -DRB4, -DRB3, -DRB1, -DQB1, -DQA1, -DPB1 and - DPA1, using the HLA*IMP:02 algorithm with the genotype calls and a multi-population reference panel. <p> See ~R530~ for additional information about the HLA imputation, including a citable reference for publications.	
100036	Health and medical history	0	1	This category contains information from the touchscreen questionnaire on past and current health, subdivided by medical conditions (including sets of questions related to some specific symptoms and/or conditions), cancer screening information, medications and operations.	
100037	Breathing	0	1	This category contains data from the touchscreen questionnaire on whether the participant has shortness of breath on walking and whether they have experienced wheeze or whistling in the chest over the last year.	
100038	Claudication and peripheral artery disease	0	1	This category contains data from the touchscreen questionnaire on whether the participant has suffered from leg pain when walking and whether they have had peripheral artery intervention/surgery. These questions were introduced towards the end of recruitment.	
100039	Chest pain	0	1	This category contains data from the touchscreen questionnaire on whether the participant has suffered from chest pain and whether they get it on walking uphill. These questions are based on an abbreviated version of the Rose angina questionnaire <i>(Lawlor DA et al., J Epidemiol Community Health, 2003;57: 538-541)</i>.	
100040	Cancer screening	0	1	This category contains data from the touchscreen questionnaire on whether the participant has ever attended screening for breast, prostate, cervical or bowel cancer and time since their last screening visit.	
100041	Eyesight	0	1	This category contains data from the touchscreen questionnaire on whether the participant reported that they wear glasses or contact lenses, and whether they reported an eye disorder, which eye is affected and when it was diagnosed.	
100042	General health	0	1	This category contains data from the touchscreen questionnaire on the general health of the participant, whether they have a long-standing illness or disability, whether their weight has changed in the last year and whether they have had any falls in the last year.	
100043	Hearing	0	1	This category contains data from the touchscreen questionnaire on whether the participant reported hearing problems, whether they use a hearing aid or have a cochlear implant, how much these problems affect them, and whether they listen to loud music or have worked in a noisy environment.	
100044	Medical conditions	0	1	This category contains data from the touchscreen questionnaire on whether the participant reported any of a range of medical conditions, and their age at diagnosis.	
100045	Medication	0	1	This category contains data from the touchscreen questionnaire on whether the participant reported taking any of a range of common prescription and over-the-counter medication, dietary vitamins and other supplements.	
100046	Mouth	0	1	This category contains data from the touchscreen questionnaire on whether the participant reported mouth, teeth or gum problems.	
100047	Operations	0	1	This category contains data from the touchscreen questionnaire on whether the participant reported having had a major operation.	
100048	Pain	0	1	This category contains data from the touchscreen questionnaire on whether the participant reported having suffered from various types of body pain in the previous 3 months (headaches, back, face, neck/shoulder, hip, knee, abdomen, body pain).	
100049	Hearing test	0	1	This category contains data from an automated hearing (speech-in-noise) test that was performed using the touchscreen system. The hearing test assesses hearing thresholds at different pitches by testing how well the participant can hear three spoken numbers (a triplet) played with a rushing noise in the background (i.e. a test between relative levels of signal and noise). <p> For each triplet played, data are available on the content of the triplet, the signal to noise ratio of the triplet, the triplet noise level, the time that the participant entered the first and last digits, the value of the number entered, whether it was correct, and the number of triplets attempted. For each test, data are available on which ear(s) were tested, the date and time the test was performed, the volume level set by the user, and whether the test was completed. <p> For non-specialists, the primary items of interest are ~F20019~ and ~F20021~, which can be considered the final hearing test results (for each ear).	
100050	Lifestyle and environment	0	1	This category contains information from the touchscreen questionnaire on lifestyle and personal exposures, subdivided into broad subject areas.	
100051	Alcohol	0	1	This category contains data from the touchscreen questionnaire on whether the participant reported drinking alcohol, frequency of intake, beverage type, whether they usually drink with meals; for former drinkers, the reason why they stopped and time since cessation.	
100052	Diet	0	1	This category contains data from the touchscreen questionnaire on the reported frequency of intake of a range of common food and drink items.	
100053	Electronic device use	0	1	This category contains data from the touchscreen questionnaire on reported use of mobile phones (duration of use, side of head) and computer games.	
100054	Physical activity	0	1	This category contains data from the touchscreen questionnaire on the reported type and duration of physical activity (including walking, DIY, moderate and vigorous physical activity, strenuous sports, etc). This category also includes data on time spent engaging in sedentary activity (driving, watching TV, computer use).	
100055	Sun exposure	0	1	This category contains data from the touchscreen questionnaire on experience of sunburn, use of sunscreen, use of sunbeds, time spent outdoors in winter and summer, facial aging, skin colour and ease of tanning.	
100056	Sexual factors	0	1	This category contains data from the touchscreen questionnaire on the number of sexual partners, same-sex sexual partners and age at first intercourse.	
100057	Sleep	0	1	This category contains data from the touchscreen questionnaire on duration of sleep, and data on napping, dozing, snoring, sleeplessness and chronotype.	
100058	Smoking	0	1	This category contains data from the touchscreen questionnaire on smoking habits (duration of smoking, number of cigarettes/day, age started smoking; among former smokers the amount smoked, time since cessation, ease of cessation, reason for cessation); and exposure to environmental tobacco smoke.	
100059	Psychosocial factors	0	1	This category contains information from the touchscreen questionnaire on psychosocial factors, subdivided into broad subject areas.	
100060	Mental health	0	1	This category contains data from the touchscreen questionnaire on psychological factors and mental health. Additional questions on depression/bipolar disorder and self-reported happiness were added towards the end of recruitment.	
100061	Social support	0	1	This category contains data from the touchscreen questionnaire on frequency of visitors, type of social activities, and ability to confide in others.	
